alpha,T,kappa,metric,mean,std,se,ci_low,ci_high,ci_excludes_zero,n_seeds
0.5,1500,boundary_v2_regime_sequence,Delta_depth_vs_product,0.0011670095378304899,0.001543909456341989,0.00012205675957782448,0.0009296605970704513,0.001403241612374893,True,160
0.5,1500,boundary_v2_regime_sequence,Delta_viable_propagation_vs_shuffled,-0.303700432634221,0.08808292621874704,0.006963566745595084,-0.3188061131270481,-0.29035792368801217,True,160
0.5,1500,boundary_v2_regime_sequence,Delta_viable_propagation_vs_product,-0.3061261855133822,0.09082751597080715,0.007180545617076753,-0.3200760926081097,-0.29122746571880204,True,160
0.5,1500,boundary_v2_regime_sequence,Delta_breadth_vs_product,-0.174089769332702,0.002288664739338434,0.0001809348344206254,-0.17443151067929924,-0.17373168033093178,True,160
0.5,1500,boundary_v2_regime_sequence,certified_transport_density_advantage,-0.2914088850430975,0.0477816115446325,0.003777468068860872,-0.2986212602547207,-0.2841405898295156,True,160
0.5,1500,boundary_v2_regime_sequence,component_B_preservation,1.0,0.0,0.0,1.0,1.0,True,160
0.5,1500,boundary_v2_regime_sequence,lower_rank_erasure_score,0.0,0.0,0.0,0.0,0.0,False,160
0.5,1500,center_of_mass,Delta_depth_vs_shuffled,0.09778326270730507,0.006645076827166942,0.0005253394500163149,0.0967699032771086,0.09886272352914549,True,160
0.5,1500,center_of_mass,Delta_depth_vs_product,0.09675192595263249,0.007118752614776472,0.0005627868090493218,0.09559435587579541,0.09786041162681654,True,160
0.5,1500,center_of_mass,Delta_viable_propagation_vs_shuffled,0.08669193511558977,0.008150181929157308,0.0006443284560220544,0.08536377441332602,0.08812125692582785,True,160
0.5,1500,center_of_mass,Delta_viable_propagation_vs_product,0.08673482317719394,0.008553394728547884,0.0006762052267172238,0.08540799648355461,0.08800768193405734,True,160
0.5,1500,center_of_mass,Delta_breadth_vs_product,0.027189800999936887,0.0030633166137804834,0.00024217644234451674,0.02670284611964078,0.027657488465059107,True,160
0.5,1500,center_of_mass,certified_transport_density_advantage,0.07744586722980062,0.020950049428355388,0.0016562468321677892,0.07442123607008849,0.08050876306795933,True,160
0.5,1500,center_of_mass,component_B_preservation,0.805485299391869,0.004413579301533563,0.0003489240806655286,0.804808913317925,0.8061704947521194,True,160
0.5,1500,center_of_mass,lower_rank_erasure_score,0.09725735030406554,0.0022067896507667792,0.00017446204033276413,0.09693013125237543,0.09760118986723296,True,160
0.5,1500,joint_basin,Delta_depth_vs_shuffled,-0.006463565554607258,0.0017802666638794152,0.0001407424375082091,-0.006753254263759806,-0.0061906964779213074,True,160
0.5,1500,joint_basin,Delta_depth_vs_product,-0.0064760093663133265,0.0017252971188653691,0.00013639671340352064,-0.006735658741127778,-0.006211100357508266,True,160
0.5,1500,joint_basin,Delta_viable_propagation_vs_shuffled,-0.05877846303051367,0.06100689129469361,0.004823018236438259,-0.06773104009939963,-0.049074223645165685,True,160
0.5,1500,joint_basin,Delta_viable_propagation_vs_product,-0.0635346737153519,0.060493782225686805,0.004782453402784509,-0.07327386224375566,-0.054304273165972854,True,160
0.5,1500,joint_basin,Delta_breadth_vs_product,0.4054013097642719,0.002834634515580882,0.00022409753508409097,0.4049783996427849,0.405836016634566,True,160
0.5,1500,joint_basin,certified_transport_density_advantage,0.08309123821455691,0.04659826469409519,0.0036839162861187534,0.07561634650539971,0.0904959006942701,True,160
0.5,1500,joint_basin,component_B_preservation,0.9757556822960691,0.004707842065217084,0.00037218759476092373,0.9750443908639966,0.9764312112550991,True,160
0.5,1500,joint_basin,lower_rank_erasure_score,0.012122158851965372,0.002353921032608544,0.00018609379738046203,0.011753917101197584,0.012477983174229441,True,160
0.5,2400,basin_transition_profile,Delta_depth_vs_shuffled,-0.03669230280008706,0.004671371561982212,0.0003693043483200554,-0.037396614841933455,-0.03591811451258218,True,160
0.5,2400,basin_transition_profile,Delta_depth_vs_product,-0.036622562031271955,0.004746923838674749,0.0003752772802390471,-0.037322589221758705,-0.03589858571535234,True,160
0.5,2400,basin_transition_profile,Delta_viable_propagation_vs_shuffled,-0.14299037682431762,0.06498043851234755,0.005137154726388541,-0.1522325853214401,-0.1333098185603811,True,160
0.5,2400,basin_transition_profile,Delta_viable_propagation_vs_product,-0.13865278009918908,0.0622888922281497,0.004924369309242839,-0.148373368955384,-0.12870854402716278,True,160
